FSYM_ID,DATE,ROCE_Cal,,Expected Median ROCE calculation,,
B76F7T-R,31-12-2010,0.22,,,,
B76F7T-R,31-12-2011,0.2,,,,
B76F7T-R,31-12-2012,0.12,,,,
B76F7T-R,31-12-2013,0.01,,,,
B76F7T-R,31-12-2014,-0.08,,0.12,,Calculation will start only if there is data available for more than 5 years
B76F7T-R,31-12-2015,-0.3,,0.065,,
B76F7T-R,31-12-2016,0.05,,0.05,,
B76F7T-R,31-12-2017,0.26,,0.085,,
B76F7T-R,31-12-2018,0.26,,0.12,,
B93JW5-R,31-12-2000,0.18,,,,For this company calculation will start 5 cells down the records i.e. at E15
B93JW5-R,31-12-2001,0.15,,,,
B93JW5-R,31-12-2002,0.14,,,,
B93JW5-R,31-12-2003,0.11,,,,
B93JW5-R,31-12-2004,0.1,,0.14,,"Calculation will start from this cell. As we are considering 5 years data, then only proceed for Median calculation"
B93JW5-R,31-12-2005,0.12,,0.13,,
B93JW5-R,31-12-2006,0.14,,0.14,,
B93JW5-R,31-12-2007,0.18,,0.14,,
B93JW5-R,31-12-2008,0.15,,0.14,,
B93JW5-R,31-12-2009,0.12,,0.14,,
B93JW5-R,31-12-2010,0.17,,0.14,,
B93JW5-R,31-12-2011,0.18,,0.145,,
B93JW5-R,31-12-2012,0.17,,0.15,,
B93JW5-R,31-12-2013,0.17,,0.15,,
B93JW5-R,31-12-2014,0.15,,0.15,,
B93JW5-R,31-12-2015,0.12,,0.15,,Second check is here. Once data is excedding 15 years then we have to shift strting point of calculation by 1 and calculate last 15 years Median. Here we have considered C12 as starting point which data of year 2001
B93JW5-R,31-12-2016,0.06,,0.14,,consider 2002 as starting point and calculate last 15 years Median
B93JW5-R,31-12-2017,0.08,,0.14,,considered 2003 as starting point. Because 2017- 15 years = 2003
B93JW5-R,31-12-2018,0.09,,0.14,,
B93HY8-R,31-12-2004,0.13,,,,
B93HY8-R,31-12-2005,0.04,,,,
B93HY8-R,31-12-2006,0.09,,,,
B93HY8-R,31-12-2007,0.12,,,,
B93HY8-R,31-12-2008,0.13,,0.12,,
B93HY8-R,31-12-2009,0.17,,,,
B93HY8-R,31-12-2010,0.09,,,,
B93HY8-R,31-12-2011,0.01,,,,
B93HY8-R,31-12-2012,-0.02,,,,
B93HY8-R,31-12-2013,0.04,,,,
B93HY8-R,31-12-2014,0.14,,,,
B93HY8-R,31-12-2015,0.1,,,,
B93HY8-R,31-12-2016,0.08,,,,
B93HY8-R,31-12-2017,0.04,,,,
B93HY8-R,31-12-2018,-0.16,,,,
B92RHK-R,31-12-2005,0,,,,
B92RHK-R,31-12-2006,0,,,,
B92RHK-R,31-12-2007,0,,,,
B92RHK-R,31-12-2008,0,,,,
B92RHK-R,31-12-2009,0,,,,
B92RHK-R,31-12-2010,0,,,,
B92RHK-R,31-12-2011,0,,,,
B92RHK-R,31-12-2012,0.01,,,,
B92RHK-R,31-12-2013,0.02,,,,
B92RHK-R,31-12-2014,0.02,,,,
B92RHK-R,31-12-2015,0.02,,,,
B92RHK-R,31-12-2016,0.01,,,,
B92RHK-R,31-12-2017,0,,,,
B92RHK-R,31-12-2018,0.01,,,,
B91N8D-R,31-12-2005,-0.01,,,,
B91N8D-R,31-12-2006,0.04,,,,
B91N8D-R,31-12-2007,0.23,,,,
B91N8D-R,31-12-2008,0.3,,,,
B91N8D-R,31-12-2009,0.45,,,,
B91N8D-R,31-12-2010,0.44,,,,
B91N8D-R,31-12-2011,0.73,,,,
B91N8D-R,31-12-2012,0.44,,,,
B91N8D-R,31-12-2013,0.49,,,,
B76KHY-S,31-12-2000,0.03,,,,
B76KHY-S,31-12-2001,0.02,,,,
B76KHY-S,31-12-2002,-0.08,,,,
B76KHY-S,31-12-2003,0.04,,,,
B93BGZ-R,31-12-2001,0.08,,,,
B93BGZ-R,31-12-2002,0.06,,,,
B93BGZ-R,31-12-2003,0.03,,,,
